id,name,context,number,skipnum
101,일반 신도1,저는 교단에 입단한 지 얼마 되지 않았어요.,,
102,일반 신도2,다음은 내가 될 지도 몰라…,,
,,제발…그것만은…,,
103,일반 신도3,교주님을 한 번 뵙고 싶은데 쉽지 않네…,,
,,이전엔 분명 그렇지 않았는데,,
,,이전이라…내가 여기에 온 지 얼마나 됐더라..?,,
104,일반 신도4,이젠 집도 가족도 그립지 않아.,,
,,구원을 받을 수만 있다면 그런게 무슨 소용이겠어.,,
105,일반 신도5,"너, 뭔가 알고 있구나 그렇지? 여기서 어떻게 하면 나갈 수 있어? 제발 알려줘",,
,,…,,
,,아냐 됐어…나가는 방법은 죽음 뿐이라는건 나도 알아.,,
201,광신도1,하하 나는 구원받았다…!,,
202,광신도2,교주님은 신의 대리자이셔. 그래서 새하얀 머리를…아아…,,
203,광신도3,너…,,
,,뭔가 이상한 눈을 하고 있군.,,
,,우리의 신을 배반하려는 생각은 아니겠지?,,
204,광신도4,그분을 위해서라면 내 목숨 뿐 아니라 내 가족도 바칠 수 있다.,,
,,물론 너도 그렇겠지?,,
,,그렇지?,,
,,그렇지 않다면 네 머릿속은 마구니로 가득한 게야.,,
205,광신도5,모두의 희생이 우리를 구원할 것이다.,,
